KP_1000_subset_sum
capacity	251367
nb_items	1000
item	value	weight
0	386	386
1	530	530
2	917	917
3	842	842
4	921	921
5	566	566
6	201	201
7	219	219
8	476	476
9	767	767
10	867	867
11	452	452
12	957	957
13	598	598
14	292	292
15	426	426
16	342	342
17	579	579
18	91	91
19	242	242
20	128	128
21	413	413
22	65	65
23	160	160
24	640	640
25	901	901
26	406	406
27	369	369
28	701	701
29	840	840
30	892	892
31	106	106
32	186	186
33	993	993
34	567	567
35	931	931
36	732	732
37	168	168
38	816	816
39	152	152
40	379	379
41	3	3
42	248	248
43	939	939
44	74	74
45	586	586
46	472	472
47	729	729
48	698	698
49	66	66
50	374	374
51	856	856
52	85	85
53	32	32
54	834	834
55	28	28
56	32	32
57	637	637
58	193	193
59	452	452
60	718	718
61	294	294
62	790	790
63	97	97
64	834	834
65	32	32
66	519	519
67	921	921
68	823	823
69	523	523
70	412	412
71	880	880
72	435	435
73	143	143
74	342	342
75	995	995
76	612	612
77	574	574
78	185	185
79	955	955
80	788	788
81	381	381
82	291	291
83	414	414
84	969	969
85	403	403
86	543	543
87	656	656
88	996	996
89	227	227
90	465	465
91	440	440
92	980	980
93	73	73
94	450	450
95	698	698
96	10	10
97	700	700
98	415	415
99	524	524
100	40	40
101	11	11
102	550	550
103	678	678
104	893	893
105	870	870
106	205	205
107	569	569
108	492	492
109	601	601
110	490	490
111	971	971
112	456	456
113	255	255
114	666	666
115	636	636
116	75	75
117	823	823
118	598	598
119	838	838
120	182	182
121	202	202
122	964	964
123	738	738
124	834	834
125	470	470
126	726	726
127	654	654
128	779	779
129	358	358
130	351	351
131	277	277
132	681	681
133	471	471
134	201	201
135	557	557
136	991	991
137	704	704
138	724	724
139	566	566
140	794	794
141	477	477
142	994	994
143	675	675
144	820	820
145	341	341
146	818	818
147	983	983
148	992	992
149	111	111
150	183	183
151	241	241
152	997	997
153	999	999
154	214	214
155	936	936
156	844	844
157	61	61
158	960	960
159	39	39
160	102	102
161	590	590
162	821	821
163	191	191
164	770	770
165	290	290
166	630	630
167	799	799
168	332	332
169	582	582
170	499	499
171	388	388
172	746	746
173	921	921
174	340	340
175	728	728
176	946	946
177	723	723
178	677	677
179	455	455
180	722	722
181	340	340
182	309	309
183	346	346
184	777	777
185	8	8
186	699	699
187	925	925
188	422	422
189	766	766
190	254	254
191	752	752
192	279	279
193	341	341
194	380	380
195	59	59
196	36	36
197	210	210
198	887	887
199	844	844
200	595	595
201	819	819
202	679	679
203	248	248
204	919	919
205	761	761
206	317	317
207	603	603
208	444	444
209	400	400
210	687	687
211	462	462
212	161	161
213	624	624
214	693	693
215	307	307
216	499	499
217	923	923
218	302	302
219	614	614
220	678	678
221	536	536
222	855	855
223	460	460
224	14	14
225	312	312
226	203	203
227	515	515
228	273	273
229	583	583
230	462	462
231	250	250
232	270	270
233	439	439
234	929	929
235	646	646
236	310	310
237	369	369
238	218	218
239	412	412
240	466	466
241	100	100
242	569	569
243	857	857
244	755	755
245	936	936
246	946	946
247	596	596
248	503	503
249	320	320
250	944	944
251	126	126
252	565	565
253	157	157
254	998	998
255	30	30
256	565	565
257	27	27
258	296	296
259	195	195
260	369	369
261	281	281
262	35	35
263	609	609
264	503	503
265	492	492
266	360	360
267	132	132
268	803	803
269	878	878
270	368	368
271	12	12
272	27	27
273	949	949
274	161	161
275	66	66
276	7	7
277	128	128
278	417	417
279	685	685
280	545	545
281	782	782
282	970	970
283	380	380
284	262	262
285	947	947
286	390	390
287	732	732
288	683	683
289	39	39
290	289	289
291	966	966
292	310	310
293	788	788
294	659	659
295	400	400
296	136	136
297	182	182
298	477	477
299	978	978
300	712	712
301	137	137
302	180	180
303	952	952
304	269	269
305	68	68
306	548	548
307	391	391
308	245	245
309	129	129
310	411	411
311	218	218
312	565	565
313	193	193
314	597	597
315	594	594
316	940	940
317	412	412
318	477	477
319	743	743
320	537	537
321	61	61
322	253	253
323	319	319
324	577	577
325	321	321
326	221	221
327	353	353
328	96	96
329	774	774
330	763	763
331	598	598
332	199	199
333	548	548
334	259	259
335	123	123
336	914	914
337	224	224
338	860	860
339	754	754
340	500	500
341	1000	1000
342	906	906
343	535	535
344	406	406
345	646	646
346	692	692
347	150	150
348	466	466
349	827	827
350	502	502
351	632	632
352	419	419
353	588	588
354	997	997
355	2	2
356	187	187
357	984	984
358	359	359
359	466	466
360	270	270
361	378	378
362	695	695
363	678	678
364	447	447
365	556	556
366	199	199
367	412	412
368	179	179
369	491	491
370	90	90
371	600	600
372	943	943
373	663	663
374	51	51
375	327	327
376	854	854
377	933	933
378	197	197
379	657	657
380	67	67
381	113	113
382	633	633
383	271	271
384	275	275
385	613	613
386	988	988
387	467	467
388	30	30
389	529	529
390	414	414
391	863	863
392	487	487
393	424	424
394	352	352
395	210	210
396	486	486
397	765	765
398	852	852
399	567	567
400	596	596
401	28	28
402	870	870
403	347	347
404	477	477
405	401	401
406	145	145
407	530	530
408	348	348
409	102	102
410	31	31
411	701	701
412	849	849
413	273	273
414	353	353
415	353	353
416	116	116
417	691	691
418	735	735
419	654	654
420	392	392
421	103	103
422	904	904
423	750	750
424	372	372
425	623	623
426	13	13
427	538	538
428	734	734
429	914	914
430	935	935
431	340	340
432	989	989
433	362	362
434	294	294
435	204	204
436	544	544
437	771	771
438	175	175
439	887	887
440	138	138
441	239	239
442	589	589
443	965	965
444	515	515
445	321	321
446	432	432
447	896	896
448	663	663
449	382	382
450	359	359
451	678	678
452	335	335
453	820	820
454	219	219
455	624	624
456	912	912
457	779	779
458	49	49
459	998	998
460	937	937
461	778	778
462	672	672
463	80	80
464	370	370
465	372	372
466	119	119
467	939	939
468	741	741
469	772	772
470	327	327
471	409	409
472	580	580
473	520	520
474	892	892
475	761	761
476	366	366
477	535	535
478	461	461
479	868	868
480	472	472
481	696	696
482	85	85
483	330	330
484	7	7
485	206	206
486	437	437
487	68	68
488	248	248
489	717	717
490	81	81
491	5	5
492	695	695
493	175	175
494	72	72
495	505	505
496	280	280
497	867	867
498	82	82
499	783	783
500	70	70
501	453	453
502	387	387
503	54	54
504	675	675
505	899	899
506	633	633
507	890	890
508	311	311
509	332	332
510	679	679
511	796	796
512	347	347
513	917	917
514	332	332
515	441	441
516	34	34
517	921	921
518	426	426
519	312	312
520	189	189
521	838	838
522	638	638
523	633	633
524	592	592
525	824	824
526	378	378
527	847	847
528	759	759
529	804	804
530	84	84
531	151	151
532	697	697
533	629	629
534	446	446
535	286	286
536	633	633
537	1000	1000
538	510	510
539	488	488
540	576	576
541	9	9
542	362	362
543	242	242
544	160	160
545	649	649
546	40	40
547	685	685
548	577	577
549	569	569
550	644	644
551	182	182
552	719	719
553	699	699
554	594	594
555	107	107
556	157	157
557	516	516
558	522	522
559	149	149
560	557	557
561	784	784
562	106	106
563	644	644
564	496	496
565	238	238
566	792	792
567	861	861
568	53	53
569	833	833
570	112	112
571	182	182
572	989	989
573	679	679
574	35	35
575	317	317
576	662	662
577	210	210
578	831	831
579	346	346
580	275	275
581	538	538
582	430	430
583	606	606
584	201	201
585	543	543
586	341	341
587	869	869
588	797	797
589	796	796
590	539	539
591	909	909
592	5	5
593	59	59
594	602	602
595	600	600
596	613	613
597	904	904
598	536	536
599	852	852
600	324	324
601	837	837
602	216	216
603	787	787
604	81	81
605	393	393
606	478	478
607	823	823
608	779	779
609	698	698
610	547	547
611	279	279
612	949	949
613	181	181
614	430	430
615	315	315
616	324	324
617	690	690
618	654	654
619	52	52
620	262	262
621	971	971
622	875	875
623	595	595
624	270	270
625	735	735
626	710	710
627	837	837
628	273	273
629	496	496
630	942	942
631	574	574
632	173	173
633	357	357
634	807	807
635	518	518
636	836	836
637	173	173
638	69	69
639	867	867
640	320	320
641	40	40
642	937	937
643	956	956
644	741	741
645	877	877
646	203	203
647	24	24
648	489	489
649	331	331
650	96	96
651	18	18
652	579	579
653	146	146
654	682	682
655	213	213
656	952	952
657	445	445
658	302	302
659	407	407
660	867	867
661	798	798
662	990	990
663	482	482
664	27	27
665	367	367
666	303	303
667	638	638
668	73	73
669	210	210
670	362	362
671	900	900
672	395	395
673	760	760
674	692	692
675	519	519
676	330	330
677	831	831
678	133	133
679	735	735
680	98	98
681	171	171
682	640	640
683	895	895
684	75	75
685	313	313
686	54	54
687	711	711
688	465	465
689	950	950
690	94	94
691	409	409
692	802	802
693	295	295
694	669	669
695	895	895
696	22	22
697	793	793
698	60	60
699	465	465
700	297	297
701	545	545
702	519	519
703	91	91
704	837	837
705	679	679
706	321	321
707	171	171
708	512	512
709	450	450
710	259	259
711	564	564
712	830	830
713	651	651
714	508	508
715	97	97
716	358	358
717	47	47
718	984	984
719	800	800
720	446	446
721	671	671
722	182	182
723	706	706
724	771	771
725	860	860
726	219	219
727	900	900
728	568	568
729	440	440
730	981	981
731	783	783
732	684	684
733	253	253
734	918	918
735	40	40
736	499	499
737	384	384
738	621	621
739	981	981
740	753	753
741	11	11
742	83	83
743	367	367
744	286	286
745	672	672
746	252	252
747	344	344
748	281	281
749	884	884
750	212	212
751	513	513
752	440	440
753	287	287
754	917	917
755	855	855
756	479	479
757	364	364
758	262	262
759	990	990
760	281	281
761	725	725
762	374	374
763	761	761
764	663	663
765	97	97
766	320	320
767	101	101
768	905	905
769	959	959
770	508	508
771	615	615
772	916	916
773	783	783
774	470	470
775	616	616
776	229	229
777	603	603
778	346	346
779	572	572
780	940	940
781	256	256
782	349	349
783	748	748
784	870	870
785	563	563
786	735	735
787	17	17
788	821	821
789	57	57
790	466	466
791	371	371
792	678	678
793	244	244
794	726	726
795	651	651
796	143	143
797	125	125
798	707	707
799	120	120
800	25	25
801	739	739
802	305	305
803	68	68
804	900	900
805	816	816
806	373	373
807	84	84
808	577	577
809	584	584
810	830	830
811	447	447
812	952	952
813	36	36
814	938	938
815	274	274
816	390	390
817	189	189
818	625	625
819	322	322
820	801	801
821	776	776
822	969	969
823	833	833
824	551	551
825	45	45
826	319	319
827	574	574
828	958	958
829	783	783
830	642	642
831	456	456
832	939	939
833	213	213
834	717	717
835	951	951
836	335	335
837	628	628
838	170	170
839	570	570
840	684	684
841	678	678
842	942	942
843	787	787
844	144	144
845	994	994
846	578	578
847	643	643
848	978	978
849	437	437
850	59	59
851	59	59
852	20	20
853	68	68
854	660	660
855	921	921
856	371	371
857	516	516
858	135	135
859	123	123
860	147	147
861	543	543
862	553	553
863	78	78
864	394	394
865	776	776
866	411	411
867	53	53
868	527	527
869	539	539
870	293	293
871	383	383
872	850	850
873	486	486
874	791	791
875	816	816
876	704	704
877	138	138
878	398	398
879	708	708
880	271	271
881	915	915
882	769	769
883	614	614
884	403	403
885	433	433
886	37	37
887	545	545
888	821	821
889	425	425
890	336	336
891	227	227
892	194	194
893	233	233
894	742	742
895	683	683
896	578	578
897	929	929
898	700	700
899	822	822
900	748	748
901	314	314
902	56	56
903	122	122
904	24	24
905	645	645
906	543	543
907	947	947
908	698	698
909	809	809
910	994	994
911	258	258
912	455	455
913	316	316
914	334	334
915	749	749
916	2	2
917	493	493
918	137	137
919	255	255
920	24	24
921	717	717
922	830	830
923	615	615
924	438	438
925	468	468
926	613	613
927	432	432
928	340	340
929	809	809
930	326	326
931	840	840
932	599	599
933	837	837
934	324	324
935	963	963
936	212	212
937	911	911
938	703	703
939	49	49
940	696	696
941	60	60
942	248	248
943	729	729
944	162	162
945	849	849
946	853	853
947	79	79
948	202	202
949	780	780
950	727	727
951	546	546
952	427	427
953	334	334
954	813	813
955	15	15
956	487	487
957	93	93
958	257	257
959	703	703
960	273	273
961	998	998
962	953	953
963	710	710
964	492	492
965	948	948
966	614	614
967	465	465
968	820	820
969	538	538
970	438	438
971	714	714
972	529	529
973	467	467
974	86	86
975	69	69
976	810	810
977	284	284
978	382	382
979	296	296
980	518	518
981	79	79
982	607	607
983	474	474
984	269	269
985	918	918
986	226	226
987	668	668
988	775	775
989	915	915
990	100	100
991	812	812
992	354	354
993	531	531
994	184	184
995	704	704
996	761	761
997	36	36
998	893	893
999	678	678
