KP_20000_strongly_correlated
capacity	4992294
nb_items	20000
item	value	weight
0	774	764
1	24	14
2	355	345
3	692	682
4	704	694
5	328	318
6	750	740
7	495	485
8	675	665
9	113	103
10	652	642
11	977	967
12	556	546
13	973	963
14	822	812
15	400	390
16	695	685
17	188	178
18	930	920
19	766	756
20	949	939
21	407	397
22	542	532
23	674	664
24	944	934
25	196	186
26	430	420
27	255	245
28	169	159
29	796	786
30	407	397
31	979	969
32	752	742
33	727	717
34	100	90
35	191	181
36	398	388
37	77	67
38	469	459
39	643	633
40	281	271
41	178	168
42	368	358
43	471	461
44	972	962
45	788	778
46	386	376
47	728	718
48	96	86
49	353	343
50	631	621
51	944	934
52	749	739
53	474	464
54	766	756
55	356	346
56	189	179
57	143	133
58	65	55
59	726	716
60	732	722
61	985	975
62	569	559
63	1008	998
64	69	59
65	124	114
66	485	475
67	897	887
68	860	850
69	17	7
70	278	268
71	765	755
72	413	403
73	635	625
74	143	133
75	786	776
76	581	571
77	652	642
78	272	262
79	673	663
80	64	54
81	607	597
82	294	284
83	446	436
84	855	845
85	228	218
86	787	777
87	560	550
88	290	280
89	340	330
90	756	746
91	697	687
92	1005	995
93	265	255
94	437	427
95	193	183
96	477	467
97	386	376
98	498	488
99	163	153
100	478	468
101	935	925
102	480	470
103	505	495
104	844	834
105	756	746
106	366	356
107	33	23
108	282	272
109	185	175
110	985	975
111	981	971
112	173	163
113	112	102
114	124	114
115	158	148
116	423	413
117	464	454
118	628	618
119	286	276
120	103	93
121	440	430
122	212	202
123	212	202
124	70	60
125	506	496
126	930	920
127	622	612
128	707	697
129	751	741
130	660	650
131	318	308
132	887	877
133	973	963
134	380	370
135	30	20
136	56	46
137	612	602
138	809	799
139	203	193
140	362	352
141	821	811
142	110	100
143	727	717
144	882	872
145	534	524
146	744	734
147	352	342
148	256	246
149	233	223
150	432	422
151	652	642
152	938	928
153	380	370
154	785	775
155	268	258
156	271	261
157	904	894
158	616	606
159	544	534
160	820	810
161	884	874
162	806	796
163	646	636
164	81	71
165	955	945
166	186	176
167	129	119
168	289	279
169	644	634
170	982	972
171	117	107
172	372	362
173	101	91
174	358	348
175	129	119
176	230	220
177	288	278
178	309	299
179	383	373
180	772	762
181	751	741
182	840	830
183	247	237
184	751	741
185	923	913
186	738	728
187	832	822
188	299	289
189	306	296
190	40	30
191	359	349
192	881	871
193	955	945
194	853	843
195	616	606
196	154	144
197	719	709
198	177	167
199	11	1
200	694	684
201	245	235
202	359	349
203	803	793
204	96	86
205	869	859
206	249	239
207	178	168
208	81	71
209	58	48
210	629	619
211	173	163
212	167	157
213	118	108
214	440	430
215	218	208
216	46	36
217	745	735
218	722	712
219	119	109
220	527	517
221	613	603
222	358	348
223	752	742
224	424	414
225	250	240
226	740	730
227	832	822
228	819	809
229	871	861
230	148	138
231	399	389
232	565	555
233	213	203
234	189	179
235	117	107
236	532	522
237	858	848
238	925	915
239	481	471
240	625	615
241	65	55
242	440	430
243	944	934
244	137	127
245	258	248
246	684	674
247	423	413
248	415	405
249	312	302
250	522	512
251	139	129
252	224	214
253	474	464
