KP_10000_uncorrelated
capacity	2499791
nb_items	10000
item	value	weight
0	532	537
1	767	303
2	766	219
3	66	426
4	222	794
5	197	6
6	236	81
7	586	504
8	921	530
9	66	961
10	208	650
11	786	339
12	767	656
13	282	595
14	450	896
15	684	691
16	502	250
17	929	954
18	164	505
19	861	275
20	169	607
21	375	473
22	590	700
23	703	579
24	729	818
25	182	328
26	420	751
27	196	344
28	408	590
29	388	932
30	882	566
31	656	95
32	311	294
33	314	177
34	94	136
35	803	371
36	413	535
37	175	807
38	733	691
39	64	91
40	573	742
41	806	394
42	624	643
43	727	386
44	633	882
45	915	321
46	787	628
47	797	984
48	194	883
49	30	200
50	776	509
51	277	484
52	211	710
53	893	389
54	19	606
55	928	912
56	489	761
57	267	773
58	341	338
59	438	332
60	758	881
61	737	394
62	23	510
63	682	391
64	789	873
65	685	465
66	667	490
67	159	631
68	865	247
69	381	330
70	784	891
71	809	341
72	193	255
73	371	242
74	703	866
75	945	86
76	322	604
77	381	549
78	22	607
79	208	827
80	644	423
81	448	905
82	396	423
83	884	718
84	984	82
85	863	599
86	469	290
87	705	930
88	906	88
89	906	175
90	766	25
91	842	254
92	339	680
93	416	373
94	897	828
95	999	987
96	783	305
97	156	660
98	347	238
99	335	551
100	197	430
101	904	489
102	134	230
103	592	732
104	26	837
105	776	779
106	263	295
107	317	820
108	895	644
109	81	618
110	304	871
111	569	770
112	851	544
113	971	823
114	566	504
115	756	918
116	780	165
117	10	76
118	650	448
119	783	815
120	873	860
121	724	818
122	138	620
123	561	454
124	59	36
125	268	287
126	204	406
127	941	630
128	868	398
129	779	673
130	50	164
131	229	691
132	995	621
133	48	955
134	772	5
135	301	353
136	563	561
137	957	874
138	211	626
139	690	586
140	97	798
141	201	193
142	580	970
143	284	501
144	999	141
145	562	721
146	902	321
147	506	964
148	671	402
149	837	325
150	812	868
151	100	70
152	658	622
153	143	163
154	38	228
155	515	165
156	660	194
157	67	885
158	354	189
159	200	5
160	79	154
161	882	839
162	628	627
163	119	189
164	287	514
165	164	266
166	435	981
167	989	99
168	585	549
169	491	201
170	187	698
171	469	262
172	606	721
173	319	746
174	576	189
175	544	608
176	335	965
177	403	854
178	393	904
179	832	430
180	870	720
181	445	864
182	939	93
183	128	525
184	360	113
185	256	986
186	602	909
187	2	501
188	292	356
189	233	223
190	52	403
191	30	997
192	584	159
193	620	62
194	939	903
195	386	88
196	221	54
197	395	207
198	724	517
199	699	84
200	514	859
201	293	744
202	433	349
203	152	88
204	695	390
205	925	279
206	905	245
207	48	898
208	170	929
209	155	761
210	557	664
211	163	849
212	662	746
213	453	343
214	312	896
215	185	62
216	513	643
217	281	941
218	585	643
219	536	261
220	271	986
221	976	575
222	26	475
223	534	211
224	695	381
